round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,clusters,merged,adjacent_pairs,assigned_nodes,min_planarity,checksum
1,baseline,steady,1,2760,5344,500,0.257164,0.247145,0.315324,0.340982,0.37135,4,0,0,2760,0.666203,1382000
1,current,steady,1,2760,5344,500,0.244293,0.230365,0.3184,0.379245,0.477028,4,0,0,2760,0.666203,1382000
1,baseline,steady,4,11040,21376,500,1.077008,1.009792,1.529312,1.662463,1.80456,16,0,0,11040,0.666203,5528000
1,current,steady,4,11040,21376,500,0.980895,0.92872,1.23107,1.477704,1.678232,16,0,0,11040,0.666203,5528000
1,baseline,birth,1,2760,5344,500,0.21571,0.197302,0.32409,0.336003,0.350411,0,0,0,0,1,0
1,current,birth,1,2760,5344,500,0.218361,0.197492,0.3129,0.339731,0.400404,0,0,0,0,1,0
1,baseline,birth,4,11040,21376,500,0.918735,0.83318,1.385541,1.459941,1.494917,0,0,0,0,1,0
1,current,birth,4,11040,21376,500,0.915401,0.84894,1.345144,1.526626,1.797798,0,0,0,0,1,0
1,baseline,merge,9,2916,5724,500,0.433819,0.414852,0.5359,0.61008,1.216412,1,80,144,2916,1,1458500
1,current,merge,9,2916,5724,500,0.395392,0.382381,0.479814,0.549215,0.717081,1,80,144,2916,1,1458500
1,baseline,merge,17,10404,20604,500,1.370641,1.317363,1.717416,2.070481,2.723081,1,288,544,10404,1,5202500
1,current,merge,17,10404,20604,500,1.327418,1.25797,1.800232,2.251572,2.36703,1,288,544,10404,1,5202500
1,baseline,reject,9,2916,5724,500,0.342498,0.333829,0.400194,0.442033,0.460407,81,0,144,2916,0.999999,1498500
1,current,reject,9,2916,5724,500,0.310643,0.298713,0.393652,0.44625,0.479974,81,0,144,2916,0.999999,1498500
1,baseline,reject,17,10404,20604,500,1.323385,1.280002,1.587621,1.871747,2.357512,289,0,544,10404,0.999999,5346500
1,current,reject,17,10404,20604,500,1.19422,1.139337,1.461804,1.729919,2.142577,289,0,544,10404,0.999999,5346500
1,baseline,chain,81,2916,5340,500,0.360084,0.341494,0.480485,0.554986,0.854631,27,54,80,2916,0.329179,1471500
1,current,chain,81,2916,5340,500,0.322054,0.310144,0.409882,0.427345,0.535609,27,54,80,2916,0.329179,1471500
1,baseline,chain,289,10404,19068,500,1.393914,1.344213,1.718108,2.073797,2.847475,97,192,288,10404,0.329178,5250500
1,current,chain,289,10404,19068,500,1.186751,1.141812,1.4547,1.713188,2.009114,97,192,288,10404,0.329178,5250500
2,current,steady,1,2760,5344,500,0.230086,0.218321,0.291239,0.309333,0.324211,4,0,0,2760,0.666203,1382000
2,baseline,steady,1,2760,5344,500,0.253623,0.240403,0.318871,0.340091,0.34525,4,0,0,2760,0.666203,1382000
2,current,steady,4,11040,21376,500,0.95549,0.91826,1.168933,1.344362,1.457576,16,0,0,11040,0.666203,5528000
2,baseline,steady,4,11040,21376,500,1.054889,1.010343,1.284721,1.452987,1.604743,16,0,0,11040,0.666203,5528000
2,current,birth,1,2760,5344,500,0.200172,0.192062,0.2387,0.26574,0.340302,0,0,0,0,1,0
2,baseline,birth,1,2760,5344,500,0.200528,0.195178,0.232739,0.26526,0.301658,0,0,0,0,1,0
