round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,clusters,merged,adjacent_pairs,assigned_nodes,min_planarity,checksum
1,baseline,steady,1,2760,5344,500,0.251269,0.243197,0.29826,0.360035,0.392997,4,0,0,2760,0.666203,1382000
1,current,steady,1,2760,5344,500,0.242379,0.239409,0.260088,0.284524,0.323917,4,0,0,2760,0.666203,1382000
1,baseline,steady,4,11040,21376,500,1.035435,0.983686,1.477984,1.840363,2.336515,16,0,0,11040,0.666203,5528000
1,current,steady,4,11040,21376,500,0.999787,0.981842,1.106176,1.284571,1.388054,16,0,0,11040,0.666203,5528000
1,baseline,birth,1,2760,5344,500,0.203727,0.195847,0.245361,0.342022,0.397376,0,0,0,0,1,0
1,current,birth,1,2760,5344,500,0.231345,0.197631,0.336482,0.360356,0.430969,0,0,0,0,1,0
1,baseline,birth,4,11040,21376,500,0.843667,0.832061,0.919526,1.010486,1.177739,0,0,0,0,1,0
1,current,birth,4,11040,21376,500,0.899614,0.834276,1.46011,1.66241,1.791252,0,0,0,0,1,0
1,baseline,merge,9,2916,5724,500,0.42765,0.410911,0.560582,0.639901,0.893627,1,80,144,2916,1,1458500
1,current,merge,9,2916,5724,500,0.52604,0.466886,0.872527,1.00742,3.525485,1,80,144,2916,1,1458500
1,baseline,merge,17,10404,20604,500,1.473599,1.381823,1.993941,2.432895,2.743068,1,288,544,10404,1,5202500
1,current,merge,17,10404,20604,500,1.393045,1.272878,1.934911,2.163951,3.054933,1,288,544,10404,1,5202500
1,baseline,reject,9,2916,5724,500,0.346403,0.324448,0.472266,0.490661,0.542918,81,0,144,2916,0.999999,1498500
1,current,reject,9,2916,5724,500,0.350781,0.329919,0.477576,0.493206,0.513263,81,0,144,2916,0.999999,1498500
1,baseline,reject,17,10404,20604,500,1.308134,1.236561,1.617535,1.803534,2.234624,289,0,544,10404,0.999999,5346500
1,current,reject,17,10404,20604,500,1.347235,1.266797,1.903612,2.308973,2.634003,289,0,544,10404,0.999999,5346500
1,baseline,chain,81,2916,5340,500,0.479078,0.433283,0.657203,0.791475,0.864532,1,80,80,2916,0.012173,1458500
1,current,chain,81,2916,5340,500,0.40219,0.355227,0.537489,0.627467,0.75101,27,54,80,2916,0.329179,1471500
1,baseline,chain,289,10404,19068,500,1.413336,1.268681,1.959518,2.224385,2.55794,1,288,288,10404,0.003412,5202500
1,current,chain,289,10404,19068,500,1.407374,1.341297,1.79543,2.121892,3.870433,97,192,288,10404,0.329178,5250500
2,current,steady,1,2760,5344,500,0.278733,0.264206,0.35199,0.390913,0.46331,4,0,0,2760,0.666203,1382000
2,baseline,steady,1,2760,5344,500,0.271421,0.251191,0.344647,0.396584,0.43704,4,0,0,2760,0.666203,1382000
2,current,steady,4,11040,21376,500,1.140721,1.06049,1.601155,1.983482,2.142371,16,0,0,11040,0.666203,5528000
2,baseline,steady,4,11040,21376,500,1.043677,0.994496,1.306381,1.477592,1.910365,16,0,0,11040,0.666203,5528000
2,current,birth,1,2760,5344,500,0.202726,0.198201,0.225833,0.262783,0.347161,0,0,0,0,1,0
2,baseline,birth,1,2760,5344,500,0.200313,0.196298,0.221265,0.250921,0.313258,0,0,0,0,1,0
2,current,birth,4,11040,21376,500,1.050818,0.915007,1.712734,1.890167,2.622662,0,0,0,0,1,0
2,baseline,birth,4,11040,21376,500,0.99121,0.944082,1.292105,1.480328,2.039698,0,0,0,0,1,0
2,current,merge,9,2916,5724,500,0.488918,0.452078,0.702729,0.892524,1.162361,1,80,144,2916,1,1458500
2,baseline,merge,9,2916,5724,500,0.4643,0.434426,0.597782,0.684655,1.176849,1,80,144,2916,1,1458500
2,current,merge,17,10404,20604,500,1.40384,1.312032,1.911727,2.603636,3.075201,1,288,544,10404,1,5202500
2,baseline,merge,17,10404,20604,500,1.405277,1.330667,1.802934,2.228993,2.603425,1,288,544,10404,1,5202500
2,current,reject,9,2916,5724,500,0.364138,0.349466,0.454093,0.48498,0.552227,81,0,144,2916,0.999999,1498500
2,baseline,reject,9,2916,5724,500,0.358189,0.343444,0.449373,0.507342,0.590758,81,0,144,2916,0.999999,1498500
2,current,reject,17,10404,20604,500,1.446551,1.363709,1.937446,2.293834,2.677916,289,0,544,10404,0.999999,5346500
2,baseline,reject,17,10404,20604,500,1.455642,1.422319,1.916236,2.36587,2.755411,289,0,544,10404,0.999999,5346500
2,current,chain,81,2916,5340,500,0.362325,0.349215,0.44216,0.492414,0.65542,27,54,80,2916,0.329179,1471500
2,baseline,chain,81,2916,5340,500,0.424046,0.407164,0.521559,0.574698,0.668305,1,80,80,2916,0.012173,1458500
2,current,chain,289,10404,19068,500,1.460243,1.360713,1.967321,2.462872,4.478083,97,192,288,10404,0.329178,5250500
2,baseline,chain,289,10404,19068,500,1.388309,1.317723,1.773428,2.087698,4.359221,1,288,288,10404,0.003412,5202500
3,baseline,steady,1,2760,5344,500,0.276656,0.250771,0.397746,0.430959,0.525325,4,0,0,2760,0.666203,1382000
3,current,steady,1,2760,5344,500,0.280309,0.267572,0.349336,0.387968,0.572845,4,0,0,2760,0.666203,1382000
3,baseline,steady,4,11040,21376,500,1.145367,1.086869,1.442427,1.616283,1.682908,16,0,0,11040,0.666203,5528000
3,current,steady,4,11040,21376,500,1.139533,1.0813,1.409555,1.579114,2.260963,16,0,0,11040,0.666203,5528000
3,baseline,birth,1,2760,5344,500,0.221842,0.202851,0.316945,0.327765,0.342612,0,0,0,0,1,0
3,current,birth,1,2760,5344,500,0.219331,0.203372,0.314921,0.324118,0.345568,0,0,0,0,1,0
3,baseline,birth,4,11040,21376,500,0.922986,0.875594,1.184462,1.33768,3.842792,0,0,0,0,1,0
3,current,birth,4,11040,21376,500,0.915641,0.884349,1.063356,1.356315,1.60397,0,0,0,0,1,0
3,baseline,merge,9,2916,5724,500,0.438586,0.421621,0.496512,0.567886,3.579968,1,80,144,2916,1,1458500
3,current,merge,9,2916,5724,500,0.440014,0.424577,0.518493,0.668605,0.797737,1,80,144,2916,1,1458500
3,baseline,merge,17,10404,20604,500,1.524512,1.408684,2.180962,2.886407,3.976342,1,288,544,10404,1,5202500
3,current,merge,17,10404,20604,500,1.371405,1.323865,1.656469,1.979264,2.352785,1,288,544,10404,1,5202500
3,baseline,reject,9,2916,5724,500,0.362695,0.337854,0.486994,0.513203,0.701596,81,0,144,2916,0.999999,1498500
3,current,reject,9,2916,5724,500,0.338177,0.332204,0.367319,0.444163,0.566813,81,0,144,2916,0.999999,1498500
3,baseline,reject,17,10404,20604,500,1.282493,1.244185,1.509663,1.776484,2.506103,289,0,544,10404,0.999999,5346500
3,current,reject,17,10404,20604,500,1.305618,1.266166,1.557112,1.780391,2.659992,289,0,544,10404,0.999999,5346500
3,baseline,chain,81,2916,5340,500,0.404983,0.394199,0.472957,0.553329,0.946095,1,80,80,2916,0.012173,1458500
3,current,chain,81,2916,5340,500,0.363638,0.345338,0.476764,0.514415,0.704352,27,54,80,2916,0.329179,1471500
3,baseline,chain,289,10404,19068,500,1.357597,1.289449,1.744795,2.279808,2.709825,1,288,288,10404,0.003412,5202500
3,current,chain,289,10404,19068,500,1.37978,1.306662,1.750154,2.303192,2.758216,97,192,288,10404,0.329178,5250500
