round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,clusters,merged,adjacent_pairs,assigned_nodes,reused_connectivity,scanned_connectivity_nodes,min_planarity,checksum
1,baseline,steady,1,2760,5344,500,0.246073,0.230522,0.327343,0.404728,0.470461,4,0,0,2760,0,0,0.666203,1382000
1,current,steady,1,2760,5344,500,0.257239,0.236944,0.37862,0.434183,0.470571,4,0,0,2760,4,0,0.666203,1382000
1,baseline,steady,4,11040,21376,500,1.169578,1.087879,1.677252,1.939824,2.552322,16,0,0,11040,0,0,0.666203,5528000
1,current,steady,4,11040,21376,500,1.07492,1.014841,1.442423,1.986331,2.980915,16,0,0,11040,16,0,0.666203,5528000
1,baseline,birth,1,2760,5344,500,0.208264,0.194956,0.287969,0.3468,0.419105,0,0,0,0,0,0,1,0
1,current,birth,1,2760,5344,500,0.272964,0.252042,0.353071,0.395231,0.481091,0,0,0,0,0,2760,1,0
1,baseline,birth,4,11040,21376,500,0.911674,0.855913,1.182245,1.298844,1.607762,0,0,0,0,0,0,1,0
1,current,birth,4,11040,21376,500,0.999127,0.937747,1.254421,1.543411,1.609084,0,0,0,0,0,11040,1,0
1,baseline,merge,9,2916,5724,500,0.403577,0.383518,0.534251,0.586399,0.696856,1,80,144,2916,0,0,1,1458500
1,current,merge,9,2916,5724,500,0.381482,0.3736,0.438431,0.473056,0.527308,1,80,144,2916,81,0,1,1458500
1,baseline,merge,17,10404,20604,500,1.256736,1.217962,1.499499,1.744678,2.093192,1,288,544,10404,0,0,1,5202500
1,current,merge,17,10404,20604,500,1.305052,1.197323,1.872468,2.286113,2.633163,1,288,544,10404,289,0,1,5202500
1,baseline,reject,9,2916,5724,500,0.382459,0.354724,0.558977,0.67244,0.711583,81,0,144,2916,0,0,0.999999,1498500
1,current,reject,9,2916,5724,500,0.421457,0.391794,0.613078,0.670265,0.727262,81,0,144,2916,81,0,0.999999,1498500
1,baseline,reject,17,10404,20604,500,1.464909,1.280699,2.33784,2.941601,4.556147,289,0,544,10404,0,0,0.999999,5346500
1,current,reject,17,10404,20604,500,3.155392,2.702934,8.245659,9.296988,9.625304,289,0,544,10404,289,0,0.999999,5346500
1,baseline,chain,81,2916,5340,500,1.390534,1.239773,2.696182,3.02104,3.223119,27,54,80,2916,0,0,0.329179,1471500
1,current,chain,81,2916,5340,500,1.293058,1.35001,2.635878,2.774508,3.102963,27,54,80,2916,81,0,0.329179,1471500
1,baseline,chain,289,10404,19068,500,5.481661,5.519631,9.652825,10.470187,10.990141,97,192,288,10404,0,0,0.329178,5250500
1,current,chain,289,10404,19068,500,1.98838,1.295046,7.305728,8.892502,9.461007,97,192,288,10404,289,0,0.329178,5250500
1,baseline,dynamic,1,2760,5344,500,0.233861,0.220373,0.31476,0.374441,0.527258,4.15,0.03,0.03,2759.872,0,0,0.624695,1382011
1,current,dynamic,1,2760,5344,500,0.241144,0.230161,0.300683,0.359754,0.394439,4.15,0.03,0.03,2759.872,3.504,679.408,0.624695,1382011
1,baseline,dynamic,4,11040,21376,500,0.989853,0.937697,1.31312,1.571895,1.775677,16.6,0.12,0.12,11039.872,0,0,0.624695,5528236
1,current,dynamic,4,11040,21376,500,1.062265,0.966501,1.561666,2.167471,3.065234,16.6,0.12,0.12,11039.872,14.106,2537.728,0.624695,5528236
2,current,steady,1,2760,5344,500,0.227649,0.222276,0.256511,0.296185,0.387566,4,0,0,2760,4,0,0.666203,1382000
2,baseline,steady,1,2760,5344,500,0.217779,0.213721,0.243506,0.269084,0.335759,4,0,0,2760,0,0,0.666203,1382000
2,current,steady,4,11040,21376,500,0.913905,0.876883,1.121782,1.278856,1.357915,16,0,0,11040,16,0,0.666203,5528000
2,baseline,steady,4,11040,21376,500,0.952617,0.917208,1.177557,1.358916,1.647637,16,0,0,11040,0,0,0.666203,5528000
2,current,birth,1,2760,5344,500,0.219567,0.208651,0.2879,0.324989,0.417933,0,0,0,0,0,2760,1,0
2,baseline,birth,1,2760,5344,500,0.236879,0.222417,0.307586,0.41657,0.50142,0,0,0,0,0,0,1,0
2,current,birth,4,11040,21376,500,0.997908,0.967192,1.215738,1.418578,1.604867,0,0,0,0,0,11040,1,0
2,baseline,birth,4,11040,21376,500,1.087377,0.957313,1.673155,1.922642,2.723432,0,0,0,0,0,0,1,0
2,current,merge,9,2916,5724,500,0.423316,0.401382,0.570118,0.676217,0.822912,1,80,144,2916,81,0,1,1458500
2,baseline,merge,9,2916,5724,500,0.480566,0.437279,0.723205,0.855663,1.084432,1,80,144,2916,0,0,1,1458500
2,current,merge,17,10404,20604,500,1.309677,1.209516,1.890191,2.160058,2.692625,1,288,544,10404,289,0,1,5202500
2,baseline,merge,17,10404,20604,500,1.300451,1.223242,1.768935,2.142695,2.586015,1,288,544,10404,0,0,1,5202500
2,current,reject,9,2916,5724,500,0.321629,0.303769,0.409807,0.427191,0.460924,81,0,144,2916,81,0,0.999999,1498500
2,baseline,reject,9,2916,5724,500,0.295953,0.291626,0.324648,0.361818,0.441407,81,0,144,2916,0,0,0.999999,1498500
2,current,reject,17,10404,20604,500,1.199219,1.121882,1.687883,1.886324,2.624007,289,0,544,10404,289,0,0.999999,5346500
2,baseline,reject,17,10404,20604,500,1.204823,1.135868,1.532562,1.808789,2.563002,289,0,544,10404,0,0,0.999999,5346500
2,current,chain,81,2916,5340,500,0.339905,0.322213,0.425788,0.460593,0.530995,27,54,80,2916,81,0,0.329179,1471500
2,baseline,chain,81,2916,5340,500,0.322371,0.305112,0.430928,0.479829,0.557444,27,54,80,2916,0,0,0.329179,1471500
2,current,chain,289,10404,19068,500,1.415951,1.30749,2.132876,2.56167,3.403718,97,192,288,10404,289,0,0.329178,5250500
2,baseline,chain,289,10404,19068,500,1.286684,1.172106,1.853203,2.197418,2.557382,97,192,288,10404,0,0,0.329178,5250500
2,current,dynamic,1,2760,5344,500,0.231509,0.221485,0.287368,0.312826,0.423763,4.15,0.03,0.03,2759.872,3.504,679.408,0.624695,1382011
