round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,cpu_mean_ms,cpu_p95_ms,clusters,merged,adjacent_pairs,assigned_nodes,reused_connectivity,scanned_connectivity_nodes,min_planarity,checksum
1,baseline,steady,1,2760,5344,500,0.334531,0.321052,0.482124,0.581450,0.796614,0.335781,0.483863,4.000000,0.000000,0.000000,2760.000000,0.000000,0.000000,0.666203,1382000
1,current,steady,1,2760,5344,500,0.368034,0.373310,0.493595,0.630551,0.749615,0.369489,0.495936,4.000000,0.000000,0.000000,2760.000000,4.000000,0.000000,0.666203,1382000
1,baseline,steady,4,11040,21376,500,1.652616,1.592776,2.500237,3.056088,3.545326,1.654901,2.502673,16.000000,0.000000,0.000000,11040.000000,0.000000,0.000000,0.666203,5528000
1,current,steady,4,11040,21376,500,1.752121,1.724613,2.632895,3.259670,3.935146,1.754578,2.635070,16.000000,0.000000,0.000000,11040.000000,16.000000,0.000000,0.666203,5528000
1,baseline,birth,1,2760,5344,500,0.345996,0.342302,0.481693,0.604974,0.777968,0.347535,0.484104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
1,current,birth,1,2760,5344,500,0.337151,0.340849,0.478296,0.517751,0.593002,0.338613,0.481619,0.000000,0.000000,0.000000,0.000000,0.000000,2760.000000,1.000000,0
1,baseline,birth,4,11040,21376,500,1.686946,1.596783,2.657491,3.143312,4.030565,1.694357,2.683841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0
1,current,birth,4,11040,21376,500,1.678781,1.579731,2.508322,3.150926,5.567165,1.681597,2.511809,0.000000,0.000000,0.000000,0.000000,0.000000,11040.000000,1.000000,0
1,baseline,merge,9,2916,5724,500,0.665150,0.623819,1.053354,1.300467,1.469344,0.667950,1.056913,1.000000,80.000000,144.000000,2916.000000,0.000000,0.000000,1.000000,1458500
1,current,merge,9,2916,5724,500,0.624822,0.588964,0.925545,1.124738,1.451381,0.627709,0.929947,1.000000,80.000000,144.000000,2916.000000,81.000000,0.000000,1.000000,1458500
1,baseline,merge,17,10404,20604,500,2.269938,2.202649,3.434227,4.488974,5.358935,2.274333,3.438150,1.000000,288.000000,544.000000,10404.000000,0.000000,0.000000,1.000000,5202500
1,current,merge,17,10404,20604,500,4.162234,2.549429,9.520124,10.334391,11.355434,4.168253,9.530354,1.000000,288.000000,544.000000,10404.000000,289.000000,0.000000,1.000000,5202500
1,baseline,reject,9,2916,5724,500,2.112161,2.101099,2.818743,3.047352,3.194979,2.117687,2.826497,81.000000,0.000000,144.000000,2916.000000,0.000000,0.000000,0.999999,1498500
1,current,reject,9,2916,5724,500,2.145526,2.164508,2.767447,2.965478,3.070796,2.151283,2.774681,81.000000,0.000000,144.000000,2916.000000,81.000000,0.000000,0.999999,1498500
1,baseline,reject,17,10404,20604,500,7.935948,7.964769,9.860352,10.474924,12.310816,7.942781,9.867474,289.000000,0.000000,544.000000,10404.000000,0.000000,0.000000,0.999999,5346500
1,current,reject,17,10404,20604,500,7.746625,7.541626,10.990722,12.558329,14.812174,7.752941,11.001341,289.000000,0.000000,544.000000,10404.000000,289.000000,0.000000,0.999999,5346500
1,baseline,chain,81,2916,5340,500,2.156482,2.153527,2.866202,3.119037,3.345310,2.164275,2.874046,27.000000,54.000000,80.000000,2916.000000,0.000000,0.000000,0.329179,1471500
1,current,chain,81,2916,5340,500,2.013745,2.005990,2.680274,2.989755,3.129125,2.021379,2.689832,27.000000,54.000000,80.000000,2916.000000,81.000000,0.000000,0.329179,1471500
1,baseline,chain,289,10404,19068,500,8.638925,8.670353,10.759849,11.985307,14.154453,8.648202,10.768035,97.000000,192.000000,288.000000,10404.000000,0.000000,0.000000,0.329178,5250500
1,current,chain,289,10404,19068,500,7.845797,7.910739,9.946045,10.825032,11.720500,7.854745,9.955478,97.000000,192.000000,288.000000,10404.000000,289.000000,0.000000,0.329178,5250500
1,baseline,dynamic,1,2760,5344,500,1.693632,1.710265,2.218278,2.479507,2.688210,1.700028,2.226126,4.150000,0.030000,0.030000,2759.872000,0.000000,0.000000,0.624695,1382011
1,current,dynamic,1,2760,5344,500,1.679256,1.657627,2.127658,2.419455,2.493084,1.685662,2.134766,4.150000,0.030000,0.030000,2759.872000,3.504000,679.408000,0.624695,1382011
1,baseline,dynamic,4,11040,21376,500,7.241547,7.165503,10.105885,11.213320,12.793873,7.249777,10.115166,16.600000,0.120000,0.120000,11039.872000,0.000000,0.000000,0.624695,5528236
